,x,y,id
371,12.219377,2.0031934,582774
372,3.9977965,5.3095894,2262558
373,13.61973,13.590566,966135
374,7.731337,-2.2035768,1937692
375,11.1844425,4.517709,1128007
376,8.247159,13.571167,961529
377,10.303709,4.93441,522832
378,10.451796,12.579978,740879
379,10.274002,4.833837,1126366
380,7.095207,-2.8772874,509703
381,13.342025,5.5806203,513322
382,9.273071,1.9138058,1569849
383,9.962329,4.838889,518454
384,6.0129232,-1.2822491,531362
385,12.267885,10.865919,963956
386,11.230176,11.027874,962449
387,7.4681687,13.526498,963090
388,11.056981,12.435349,963077
389,11.752782,12.346018,967728
390,8.54902,6.7812905,2030350
391,10.802516,-2.783204,515047
392,12.046471,0.68663836,1603322
393,10.587017,-3.121017,515115
394,6.523043,-2.3681219,1816866
395,10.94269,13.439774,961847
396,13.791483,3.7220123,525539
397,13.509695,13.184594,968186
398,8.600817,2.0273726,960004
399,11.051854,5.40956,1924050
400,8.225337,6.7382355,2018359
401,11.314963,11.172196,959767
402,8.87396,1.9924994,1480313
403,9.639358,13.965485,964155
404,12.475009,12.503545,963296
405,11.861447,1.4502866,848620
406,8.835808,-0.99296886,543880
407,8.847808,2.5027933,961756
408,11.762727,1.2645073,850774
409,13.048022,3.7889807,522760
410,12.016963,3.6806018,1002767
411,8.012888,-1.8656838,501825
412,11.3840475,12.388011,966779
413,9.223963,3.4108148,1442706
414,13.93891,12.986021,961940
415,10.842968,12.493255,960240
416,8.91136,-4.0639977,1718021
417,6.50152,-2.4407847,1817168
418,9.401511,12.927872,961487
419,13.349295,11.850344,967909
420,11.762325,-1.0783712,577604
421,12.619711,-6.1858587,503464
422,8.294437,13.4319315,958662
423,12.027024,0.7170018,1576759
424,13.339595,12.733869,968211
425,11.663824,1.5722227,502505
426,12.894271,5.1304445,513300
427,13.610694,13.613925,961206
428,9.679157,2.3053994,740059
429,7.3972096,-3.5965228,1699892
430,10.459786,13.007786,960390
431,9.564657,-3.6551063,573105
432,8.779364,-1.0255306,1501992
433,10.044052,5.981014,2018852
434,9.356917,-4.1144347,506409
435,10.502738,-3.0568004,516161
436,8.5331335,13.337617,963194
437,12.109194,-2.4344287,1564076
438,10.667352,-3.089395,2424062
439,8.613022,13.847916,964099
440,6.394762,-3.056374,2031982
441,7.389858,-3.5916257,2423644
442,10.973333,1.5466969,1628986
443,11.686199,1.6412964,583524
444,8.591251,6.79564,2030975
445,12.208164,10.742491,2018902
446,8.396216,14.044318,962270
447,6.1560574,-3.209903,2222589
448,11.701401,-1.1957921,539591
449,8.040622,12.4390335,958640
450,11.333255,12.45357,963682
451,8.439178,6.6587243,2030595
452,13.22959,-6.629215,2260757
453,7.7314076,-4.7174883,1681626
454,9.939073,-3.9649389,1419546
455,9.970842,-2.6063,1702034
456,13.314191,5.3409743,513291
457,9.168228,-3.5183425,1291691
458,8.288807,13.085871,1944192
459,12.084143,1.512079,1624787
460,9.732631,5.084121,1445194
461,8.55586,14.630801,964081
462,9.017161,13.433583,958463
463,10.185804,5.465917,1605391
464,11.264102,11.030843,965317
465,9.353148,13.0457,966408
466,10.66145,11.028786,960834
467,7.8509254,14.243065,966578
468,9.013526,6.671028,2030661
469,13.38021,13.620773,967364
470,10.902581,5.3133717,1726165
471,7.637464,-2.5930798,2319193
472,11.850724,1.9283589,1518036
473,8.588967,-1.4764928,1477851
474,12.120675,10.797427,967917
475,12.191263,11.140087,964806
476,10.923832,5.0322227,614700
477,7.7802963,-2.8718877,517635
478,8.868373,2.811591,1442829
479,7.740819,6.813883,2276303
480,10.461735,10.525159,2439160
481,9.163999,5.703453,2018354
482,11.759775,-1.2720466,539874
483,10.287566,13.545793,958893
484,8.845585,0.85926384,1435807
485,12.389523,3.8116424,2263791
486,13.38839,12.999414,967867
487,9.745793,12.667871,968178
488,8.888809,-3.960327,1407790
489,9.415634,5.7324495,529664
490,8.165777,-0.7562543,985881
491,7.6564045,12.95973,741763
